,X,Y,FireDiscoveryDateTime,InitialLatitude,InitialLongitude,POOCounty,IncidentSize,FireCause
3932,-123.652791959,43.05556082100001,2022/08/19 04:31:00+00,,,Douglas,,
4012,-123.48881400200001,42.2728751870001,2018/08/13 17:57:00+00,42.272870000000005,-123.4888,Josephine,0.1,Human
4029,-122.37051382799999,42.2408552860001,2017/08/27 18:24:00+00,42.22211,-122.3739,Jackson,0.5,Human
4117,-121.853613806,42.5885553580001,2022/09/28 20:30:55+00,42.5878,-121.8554,Klamath,0.1,Human
4131,-122.76561398,42.790895287000104,2018/07/16 02:03:00+00,42.790890000000005,-122.7656,Jackson,0.25,Natural
4190,-123.627891804,42.162152367,2020/10/23 22:40:00+00,,,Josephine,,
4214,-118.00701365299999,45.290305919,2014/07/09 23:10:59+00,,,Union,,
4312,-123.66601430700001,43.8642052690001,2015/02/19 00:00:00+00,,,Douglas,,
4365,-120.596513733,43.338425527,2016/07/11 16:24:00+00,43.33191,-120.5715,Lake,,Undetermined
4404,-121.82091375799999,42.3334653430001,2022/06/24 14:13:47+00,42.32823,-121.8176,Klamath,0.1,Human
4440,-121.173414075,44.6804555640001,2017/07/05 23:13:00+00,44.6342,-121.1201,Jefferson,1.0,Human
4535,-123.660014316,43.9193052730001,2015/06/19 22:44:59+00,43.9193,-123.6605,Douglas,,Undetermined
4536,-123.39256405799999,42.696921923000005,2021/09/05 02:29:59+00,,,Josephine,,
4554,-123.540292026,43.52611636100001,2022/08/23 23:23:00+00,,,Douglas,,
4604,-123.036125211,43.242227513,2016/11/09 18:00:00+00,,,Douglas,,
4624,-123.040014254,44.0844053430001,2015/12/01 21:53:00+00,44.0844,-123.0398,Lane,,Undetermined
4643,-122.86681398200001,42.7117752730001,2018/07/16 05:15:00+00,42.71177,-122.8668,Jackson,13.5,Natural
4658,-123.17806982399999,44.0483386610001,2016/09/26 22:43:00+00,,,Lane,,
4705,-121.994413847,42.703575353000105,2019/04/18 20:43:29+00,42.70213,-121.9938,Klamath,1.0,Unknown
4711,-120.800013974,44.471705586999995,2015/05/25 20:42:00+00,,,Crook,,
4728,-122.53951392100001,42.642671998000004,2020/07/27 02:38:00+00,,,Jackson,,
4738,-121.149183991,44.260565539,2022/06/08 22:53:00+00,,,Deschutes,,
4743,-123.26551404,42.700615235,2018/04/27 15:01:59+00,42.70264,-123.258,Josephine,0.1,Human
