,X,Y,FireDiscoveryDateTime,InitialLatitude,InitialLongitude,POOCounty,IncidentSize,FireCause,Temperature,Precipitation
97,-122.28401386700001,42.557505316000096,2014/08/12 01:04:00+00,42.8017,-122.5667,Klamath,,Undetermined,63.0,0.018666666666666668
98,-122.73331385200001,42.0481382400001,2019/09/06 02:27:49+00,42.048133,-122.7333,Jackson,,Unknown,58.7,0.10766666666666666
99,-123.18511408200001,43.01466526300001,2018/11/14 01:04:20+00,43.01466,-123.1851,Douglas,0.1,Unknown,45.4,0.16866666666666666
100,-123.8957146,45.196405322,2016/09/13 22:17:00+00,45.1964,-123.8957,Tillamook,0.1,Undetermined,57.3,0.09133333333333334
101,-123.652791959,43.05556082100001,2022/08/19 04:31:00+00,,,Douglas,,,70.1,0.004333333333333333
102,-123.48881400200001,42.2728751870001,2018/08/13 17:57:00+00,42.27287000000001,-123.4888,Josephine,0.1,Human,68.2,0.0003333333333333333
103,-122.37051382799999,42.2408552860001,2017/08/27 18:24:00+00,42.22211,-122.3739,Jackson,0.5,Human,72.0,0.010333333333333332
104,-121.853613806,42.5885553580001,2022/09/28 20:30:55+00,42.5878,-121.8554,Klamath,0.1,Human,59.5,0.02866666666666667
105,-122.76561398,42.79089528700009,2018/07/16 02:03:00+00,42.79089000000001,-122.7656,Jackson,0.25,Natural,70.9,0.002
106,-123.627891804,42.162152367,2020/10/23 22:40:00+00,,,Josephine,,,57.1,0.037000000000000005
107,-118.00701365299999,45.290305919,2014/07/09 23:10:59+00,,,Union,,,68.1,0.014666666666666666
108,-123.66601430700001,43.8642052690001,2015/02/19 00:00:00+00,,,Douglas,,,46.6,0.239
109,-120.596513733,43.338425527,2016/07/11 16:24:00+00,43.33191,-120.5715,Lake,,Undetermined,63.6,0.007333333333333333
110,-121.82091375799999,42.3334653430001,2022/06/24 14:13:47+00,42.32823,-121.8176,Klamath,0.1,Human,55.3,0.05433333333333333
111,-121.173414075,44.6804555640001,2017/07/05 23:13:00+00,44.6342,-121.1201,Jefferson,1.0,Human,69.3,0.0003333333333333333
112,-123.660014316,43.9193052730001,2015/06/19 22:44:59+00,43.9193,-123.6605,Douglas,,Undetermined,65.6,0.018666666666666668
113,-123.39256405799999,42.696921923000005,2021/09/05 02:29:59+00,,,Josephine,,,63.5,0.08733333333333332
114,-123.540292026,43.52611636100001,2022/08/23 23:23:00+00,,,Douglas,,,70.1,0.004333333333333333
115,-123.036125211,43.242227513,2016/11/09 18:00:00+00,,,Douglas,,,47.4,0.2326666666666667
116,-123.040014254,44.0844053430001,2015/12/01 21:53:00+00,44.0844,-123.0398,Lane,,Undetermined,38.8,0.6986666666666667
117,-122.86681398200001,42.7117752730001,2018/07/16 05:15:00+00,42.71177,-122.8668,Jackson,13.5,Natural,70.9,0.002
118,-123.17806982399999,44.0483386610001,2016/09/26 22:43:00+00,,,Lane,,,58.5,0.034333333333333334
119,-121.994413847,42.703575353000105,2019/04/18 20:43:29+00,42.70213,-121.9938,Klamath,1.0,Unknown,43.2,0.12466666666666668
120,-120.800013974,44.471705586999995,2015/05/25 20:42:00+00,,,Crook,,,51.5,0.05966666666666666
121,-122.53951392100001,42.642671998000004,2020/07/27 02:38:00+00,,,Jackson,,,68.5,0.001
122,-121.149183991,44.260565539,2022/06/08 22:53:00+00,,,Deschutes,,,54.6,0.068
123,-123.26551404,42.700615235,2018/04/27 15:01:59+00,42.70264,-123.258,Josephine,0.1,Human,47.2,0.12333333333333335
124,-123.353013975,42.235005197000106,2018/05/14 04:38:00+00,42.235,-123.353,Josephine,0.25,Human,56.4,0.029666666666666668
125,-123.968814669,45.4765053290001,2021/08/05 06:00:00+00,,,Tillamook,,,63.6,0.01
126,-121.71101421600001,44.95970552900009,2014/07/16 00:39:00+00,,,Wasco,1.0,,71.5,0.019
